Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,^,0.1,0.1,0.2,0.3,0.4,0.4,0.3,--12.4%,46.9%,0.1%
United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,-,^,^,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.8,1.0,1.1,1.2,1.4,1.7,2.1,2.7,3.1,3.3,3.8,4.5,5.0,6.5,8.1,11.0,13.3,17.5,17.5,--0.1%,20.4%,4.2%
USSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,50.0%,♦,♦
Other Europe & Eurasia,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.6,1.9,2.0,2.2,2.3,2.5,7.7%,17.2%,0.6%
Total Europe & Eurasia,0.7,0.9,1.0,1.1,1.2,1.6,1.7,1.6,1.8,1.8,2.0,1.9,2.0,2.1,2.2,2.5,2.5,2.3,2.3,2.4,2.5,3.1,3.0,3.2,3.2,4.4,4.7,5.1,5.8,6.2,7.0,7.5,9.0,10.8,12.3,15.0,16.6,20.2,23.8,29.7,34.9,40.4,48.1,54.4,61.2,71.0,85.7,101.5,114.1,123.8,141.6,144.0,1.5%,15.0%,34.3%
Iran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,2.6%,20.0%,♦
Israel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.4,37.1%,60.6%,0.1%
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,580.0%,♦,♦
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,10.0%,♦,♦
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,14.3%,♦,♦
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.1,2.6%,♦,♦
Other Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,196.8%,39.9%,♦
Total Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,42.0%,38.4%,0.2%
Algeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,190.2%,♦,♦
Egypt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.1,^,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.6,35.5%,13.3%,0.1%
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,1.4,1.8,26.3%,35.3%,0.4%
Other Africa,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.4,0.5,0.5,0.7,0.6,0.6,0.7,0.9,0.9,1.0,1.3,1.8,2.4,2.6,9.6%,16.6%,0.6%
Total Africa,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.9,0.8,0.9,1.1,1.3,1.4,1.4,1.7,2.7,4.2,5.0,18.5%,19.6%,1.2%
Australia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.6,0.8,1.2,1.4,1.6,1.7,1.7,1.9,2.5,3.0,3.7,4.1,4.8,5.4,12.0%,14.9%,1.3%
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,15.3%,40.8%,♦
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.1,0.1,0.2,0.8,0.4,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1.7,2.5,3.5,6.4,11.0,15.9,22.8,29.4,42.3,50.8,64.4,86.1,33.4%,44.1%,20.5%
China Hong Kong SAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,--0.4%,♦,♦
India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.1,0.2,0.4,0.4,0.5,0.7,0.7,0.9,1.0,1.2,1.9,2.3,3.3,4.0,4.8,6.3,7.2,8.8,10.4,11.6,12.0,12.7,16.5,29.2%,18.8%,3.9%
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.9,0.9,1.1,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.9,2.1,2.1,2.2,2.2,2.2,2.3,2.4,2.6,7.1%,4.7%,0.6%
Japan,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,2.2,2.5,2.7,2.9,3.1,3.3,3.6,3.9,2.6,2.6,2.7,2.6,3.1,3.2,3.5,3.7,3.7,3.8,3.7,3.8,4.1,4.4,4.7,5.7,5.8,6.2,6.1,6.1,6.7,7.0,7.7,9.3,11.8,14.8,18.8,26.7%,10.0%,4.5%
Malaysia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,21.6%,♦,0.1%
New Zealand,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.9,1.0,1.1,1.3,1.6,1.8,2.0,2.0,2.0,2.3,2.4,2.4,--0.2%,10.0%,0.6%
Pakistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,0.1,0.2,0.3,0.4,47.0%,♦,0.1%
Philippines,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.1,0.5,0.9,0.9,1.1,1.2,1.3,1.3,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.7,2.0,2.4,2.6,2.3,2.3,2.2,2.3,2.2,2.4,2.3,2.4,2.4,2.3,2.3,2.4,2.2,2.4,2.8,3.1,10.8%,2.2%,0.7%
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,14.8%,6.2%,0.1%
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.3,0.4,1.0,1.7,2.0,2.3,3.3,3.9,4.3,9.6%,45.6%,1.0%
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.8%,8.8%,0.2%
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.8,0.9,1.2,1.6,2.0,2.3,2.8,24.4%,18.3%,0.7%
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,40.5%,15.9%,♦
Other Asia Pacific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,1.3%,20.8%,0.1%
