Peru,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.8,0.8,0.9,0.9,0.8,1.0,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.8,♦,--1.3%,♦
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Venezuela,^,^,^,^,^,^,0.1,0.2,0.3,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.5,0.5,-,^,^,0.1,^,^,^,^,^,0.1,^,^,^,-,^,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,--66.4%,18.4%,♦
Other S. & Cent. America,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.7,1.1,1.9,2.0,2.0,2.3,2.4,2.4,2.1,2.2,2.7,2.7,2.9,3.2,3.2,3.4,5.4%,4.9%,0.1%
Total S. & Cent. America,5.9,6.1,6.3,5.9,6.5,7.1,6.6,6.5,6.7,7.4,7.8,7.9,8.9,9.7,10.0,10.7,10.6,10.6,11.8,13.5,15.5,15.8,17.4,17.3,18.6,15.7,16.5,17.2,17.9,19.3,19.5,19.9,21.5,20.7,20.5,20.9,19.9,19.5,21.2,22.4,21.2,24.3,25.7,28.0,23.2,28.1,30.2,31.7,34.2,36.1,35.9,34.7,--3.7%,5.4%,0.9%
Austria,5.1,4.9,4.6,4.5,4.5,4.8,4.4,4.0,4.0,4.2,3.6,3.9,3.3,3.3,3.6,3.7,3.8,3.6,3.8,4.4,4.4,3.9,3.9,3.7,3.7,4.1,4.3,3.3,3.0,3.0,3.5,3.5,3.7,3.3,3.2,3.7,3.8,3.8,4.1,4.0,4.0,4.1,3.9,3.8,2.9,3.4,3.5,3.2,3.3,3.0,3.2,3.2,--2.3%,--2.1%,0.1%
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,--19.8%,♦
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.2,2.4,2.3,2.5,2.4,2.1,2.0,1.7,1.4,1.0,1.0,1.2,1.2,1.1,1.0,1.0,0.7,0.7,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.8,0.8,0.9,0.8,0.7,0.8,16.5%,--0.3%,♦
Belgium,19.2,17.5,17.2,17.7,17.3,16.3,13.5,12.9,10.8,11.5,8.6,9.0,9.1,9.3,10.4,10.5,10.9,10.9,9.3,10.8,10.7,9.2,9.1,9.2,9.7,10.6,10.1,9.2,8.5,9.0,8.7,8.3,8.0,8.1,7.1,8.0,7.4,6.4,6.0,5.9,5.2,5.0,4.4,4.5,3.1,3.8,3.5,3.2,3.3,3.3,3.2,3.0,--6.7%,--4.7%,0.1%
Bulgaria,6.0,6.2,6.7,7.3,7.3,8.0,7.9,8.2,8.2,8.1,8.5,7.9,7.9,8.4,8.6,9.1,9.2,9.7,9.6,9.7,10.1,10.4,10.4,9.6,9.8,8.7,7.7,7.6,8.1,7.6,7.6,7.7,7.8,7.5,6.5,6.4,7.2,6.7,7.3,7.2,6.9,7.0,7.9,7.6,6.4,6.9,8.1,6.9,5.9,6.4,6.6,5.7,--13.5%,--0.4%,0.2%
Czech Republic,35.3,35.2,34.1,35.3,36.6,37.1,38.7,38.1,37.3,37.1,37.9,38.7,39.5,39.7,39.7,38.5,38.3,38.6,38.4,39.1,38.2,38.1,37.6,38.1,36.6,31.5,28.9,25.8,24.6,22.8,22.7,22.6,23.2,21.3,18.4,21.6,21.2,20.8,21.0,21.0,20.2,21.0,21.4,19.7,17.7,18.8,18.4,17.4,17.2,16.0,16.6,16.9,1.7%,--2.0%,0.5%
Denmark,3.7,4.2,3.6,3.2,2.9,2.3,1.4,1.5,2.3,2.1,2.1,2.9,3.3,3.6,4.3,6.1,4.9,5.9,5.7,6.0,7.3,7.4,7.2,6.8,5.6,6.1,8.3,6.9,7.2,7.8,6.5,8.9,6.6,5.6,4.7,4.0,4.2,4.2,5.7,4.4,3.7,5.6,4.7,4.1,4.0,3.8,3.2,2.5,3.2,2.6,1.7,2.1,20.8%,--7.3%,0.1%
Finland,1.7,1.6,1.6,1.9,2.2,2.3,2.0,2.2,2.5,2.5,2.3,3.1,3.1,4.2,4.1,4.6,2.8,3.1,3.4,3.9,5.0,4.6,5.1,5.1,5.0,5.3,5.3,4.8,5.5,6.7,5.9,7.0,6.7,5.5,5.3,5.0,6.1,6.6,8.2,7.4,4.7,7.4,7.0,5.3,5.4,6.8,5.5,4.5,5.0,4.5,3.8,4.1,8.0%,--2.2%,0.1%
France,41.4,38.3,37.8,36.4,36.4,34.7,31.8,28.3,27.9,28.3,24.8,29.2,28.1,29.3,31.8,31.2,28.4,29.0,26.3,25.1,24.4,20.2,18.4,17.9,19.5,19.0,20.2,17.8,14.6,14.3,14.7,15.6,13.7,16.3,14.6,14.2,12.4,12.8,13.6,12.9,13.4,12.4,12.8,12.1,10.8,11.5,9.8,11.1,11.6,8.6,8.4,8.3,--1.1%,--4.6%,0.2%
Germany,160.7,150.1,144.6,146.6,151.0,149.1,142.7,139.3,139.7,140.3,127.1,134.2,128.9,130.6,138.2,141.3,143.7,140.3,145.4,150.1,149.3,141.0,140.5,138.8,141.0,131.5,115.5,104.4,98.5,95.6,90.6,90.2,87.4,85.3,82.2,85.3,85.5,85.7,87.2,85.0,81.3,84.5,86.7,80.1,71.7,77.1,78.3,80.5,82.8,79.6,78.5,75.3,--4.3%,--0.4%,2.0%
Greece,2.1,2.1,2.0,2.3,2.2,2.5,3.7,4.0,4.7,4.9,6.5,7.6,8.1,7.2,4.0,4.0,3.9,4.0,4.9,5.2,6.0,5.8,6.6,7.4,7.9,8.1,7.8,8.2,8.2,8.5,8.4,7.9,8.5,8.9,8.6,9.0,9.3,9.0,8.9,9.1,8.9,8.4,8.8,8.3,8.4,7.9,7.9,8.1,7.0,6.7,5.6,4.7,--16.7%,--4.6%,0.1%
Hungary,10.9,10.5,9.1,9.0,9.1,9.2,8.9,8.7,8.7,8.3,7.9,8.0,8.2,8.2,8.2,8.1,8.1,8.5,8.0,7.7,7.6,7.5,7.5,7.1,6.3,6.2,6.0,5.2,4.9,4.7,4.6,4.7,4.6,4.3,4.2,3.9,3.6,3.6,3.7,3.4,3.0,3.1,3.1,3.1,2.6,2.7,2.7,2.6,2.3,2.2,2.4,2.3,--3.6%,--2.5%,0.1%
Ireland,3.1,3.6,3.8,4.6,4.4,2.2,2.1,1.9,1.9,2.0,1.7,1.7,1.8,1.7,2.0,1.9,2.0,2.1,2.3,2.2,2.5,2.7,3.5,3.6,3.6,3.5,3.3,3.2,3.1,2.9,3.0,3.0,2.8,2.9,2.5,2.6,2.7,2.6,2.6,2.4,2.7,2.4,2.3,2.3,2.0,2.0,1.9,2.3,2.0,2.0,2.2,2.2,--0.7%,--2.0%,0.1%
Italy,8.6,9.0,9.8,9.5,9.8,9.9,9.5,8.9,9.0,9.8,9.8,9.7,9.6,9.8,10.7,12.6,12.9,14.4,13.5,15.3,15.1,14.8,14.7,13.8,14.4,14.1,13.8,12.2,10.6,11.4,12.3,11.2,11.3,11.8,11.8,12.6,13.4,13.7,14.9,16.6,16.5,16.7,16.3,15.8,12.4,13.7,15.4,15.7,13.5,13.1,12.3,10.9,--11.9%,--2.9%,0.3%
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.1,40.1,41.6,43.4,41.4,38.7,37.8,38.1,34.6,33.8,27.3,24.4,20.9,20.6,19.1,17.8,22.3,22.6,24.9,26.6,26.9,28.3,31.1,33.8,30.9,33.4,36.3,36.5,36.3,41.0,35.8,35.6,--0.8%,2.9%,1.0%
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,4.8%,--0.1%,♦
Netherlands,8.9,8.1,7.8,7.4,6.3,4.6,3.5,3.0,3.0,2.9,2.4,3.0,3.2,3.6,3.4,4.0,4.4,5.1,5.3,6.4,6.4,6.5,6.9,8.3,8.2,8.7,8.0,8.0,8.1,8.6,8.9,8.6,8.4,8.5,7.5,7.8,8.3,8.3,8.6,8.5,8.1,7.7,8.4,8.0,7.5,7.5,7.5,8.2,8.2,9.1,11.0,10.3,--7.0%,3.1%,0.3%
Norway,0.8,0.7,0.7,0.8,0.8,0.9,0.8,0.9,0.9,1.0,1.0,1.0,0.8,0.8,1.1,1.0,1.0,0.9,1.0,1.1,1.1,1.0,1.0,1.0,0.9,0.8,0.7,0.7,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.8,0.7,0.6,0.7,0.7,0.6,0.8,0.8,0.8,0.8,0.9,0.8,0.8,--0.1%,1.3%,♦
Poland,59.5,60.3,61.4,64.3,67.6,70.2,71.8,75.1,75.5,77.6,83.7,87.5,90.6,94.8,96.0,101.6,90.6,93.8,93.6,97.6,99.9,102.4,106.1,103.2,98.6,78.4,77.7,75.1,74.2,69.1,70.3,72.0,70.2,63.3,60.7,56.2,55.6,54.5,56.1,54.5,55.1,57.4,55.9,55.2,51.8,55.1,55.0,51.2,53.4,49.4,48.7,48.8,♦,--1.2%,1.3%
Portugal,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.8,1.5,1.9,2.2,2.4,2.8,3.0,3.0,3.3,3.4,4.2,3.9,3.6,3.6,3.7,3.7,3.2,3.5,3.4,3.3,3.3,3.3,2.9,2.5,2.9,1.6,2.2,2.9,2.7,2.7,3.3,2.9,--11.9%,--0.2%,0.1%
Romania,4.4,4.7,5.2,5.7,6.6,7.2,7.6,7.9,8.9,9.4,9.7,9.9,10.0,11.2,12.1,12.4,13.0,12.4,14.3,14.3,14.9,15.1,16.2,17.5,17.5,12.7,10.2,10.8,10.1,10.4,10.8,10.7,9.7,8.1,6.9,7.5,7.6,8.8,9.4,9.3,8.8,9.5,10.1,9.6,7.6,7.0,8.2,7.6,5.8,5.7,5.9,5.4,--8.9%,--3.9%,0.1%
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,198.1,203.5,206.6,203.5,196.8,182.3,167.1,157.0,141.7,123.9,119.4,117.2,108.0,101.2,102.0,105.8,103.2,103.6,104.2,99.9,94.6,97.0,93.9,100.7,92.2,90.5,94.0,98.4,90.5,87.6,92.2,87.3,--5.5%,--0.3%,2.3%
Slovakia,6.0,6.1,5.9,6.2,6.5,6.6,6.9,7.0,6.8,6.8,6.8,6.7,6.9,7.2,7.1,8.1,7.9,8.0,8.0,8.5,8.5,7.8,8.2,8.6,8.3,7.8,7.0,6.2,6.1,5.5,5.4,5.3,5.1,4.7,4.6,4.3,4.4,4.3,4.6,4.5,4.2,4.5,4.0,4.0,3.9,3.9,3.7,3.5,3.5,3.4,3.3,3.1,--5.0%,--2.5%,0.1%
Spain,9.7,9.0,9.1,9.2,9.3,9.8,9.9,10.1,9.9,9.6,10.6,10.3,11.0,9.5,10.8,12.4,15.3,17.0,17.9,18.2,18.0,18.6,18.1,15.7,19.3,19.2,20.0,20.4,18.4,18.9,19.0,16.0,18.4,17.5,19.6,20.9,19.2,21.6,20.1,21.0,20.5,17.9,20.0,13.5,9.4,6.9,12.8,15.5,11.4,11.6,13.7,10.4,--23.9%,--4.0%,0.3%
Sweden,2.2,2.1,2.1,1.8,1.8,1.9,1.7,1.5,1.6,1.8,1.9,1.9,1.5,1.5,1.8,1.7,1.5,1.6,2.0,2.5,2.9,3.1,3.1,3.0,2.8,3.0,2.7,2.6,2.7,2.9,2.9,3.0,2.6,2.5,2.4,2.5,2.8,2.8,2.7,3.0,2.6,2.7,2.7,2.4,1.9,2.5,2.5,2.2,2.2,2.1,2.1,2.2,6.0%,--2.1%,0.1%
Switzerland,1.3,1.1,0.9,0.8,0.8,0.7,0.4,0.4,0.4,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,♦,--1.1%,♦
Turkey,3.7,4.1,3.6,3.9,4.2,4.6,4.8,5.1,5.2,5.7,5.9,6.2,6.4,6.5,6.6,7.0,7.2,8.1,8.9,10.0,11.9,13.1,13.9,13.4,15.1,16.0,17.1,17.1,15.8,15.8,16.5,18.6,20.8,21.6,20.0,22.5,18.5,19.3,20.8,22.1,22.2,26.2,29.5,29.6,30.9,31.4,33.9,36.5,31.6,36.1,34.7,38.4,10.3%,4.6%,1.0%
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.1,-,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,77.0,76.5,75.8,71.5,65.2,75.1,62.5,64.3,56.5,46.6,42.4,33.5,38.2,37.1,38.6,39.2,39.8,39.1,40.5,39.3,37.5,39.8,39.8,41.8,35.9,38.3,41.5,42.5,41.6,35.6,27.3,31.5,14.9%,--3.1%,0.8%
United Kingdom,117.4,111.7,104.4,104.5,101.8,96.0,85.1,74.5,80.7,71.1,71.5,72.8,73.0,71.1,76.5,71.1,70.7,65.9,66.5,47.3,62.9,67.9,69.6,67.5,65.0,64.9,65.1,61.2,53.3,49.7,47.5,44.4,39.6,38.6,34.3,36.7,38.9,35.7,38.1,36.6,37.4,40.9,38.4,35.6,29.8,30.9,31.4,39.0,36.8,29.7,23.0,11.0,--52.5%,--4.7%,0.3%
USSR,297.4,308.3,313.0,310.3,316.2,312.2,318.5,327.0,330.9,332.5,342.0,341.6,347.7,345.6,348.1,337.5,335.4,340.5,341.4,338.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.7,3.5,3.8,2.6,3.3,3.3,3.1,2.0,1.4,1.4,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.5,0.8,0.9,0.8,1.0,1.0,1.0,0.9,1.1,1.2,1.1,1.2,1.1,1.0,--10.1%,1.9%,♦
Other Europe & Eurasia,11.8,11.3,10.0,10.5,10.6,11.0,11.7,11.5,11.9,12.3,12.4,12.9,12.6,13.8,15.3,14.7,16.2,16.6,18.5,20.2,33.6,34.4,33.5,32.6,31.8,31.7,27.8,24.5,21.9,18.0,17.6,18.1,19.1,19.8,17.0,19.2,19.2,20.0,21.4,21.8,20.7,21.0,21.2,22.2,21.3,22.5,24.6,22.9,23.8,21.9,23.0,23.0,--0.1%,1.1%,0.6%
Total Europe & Eurasia,821.5,811.1,799.6,804.3,816.7,804.4,789.7,782.2,793.3,790.7,789.5,810.2,815.2,821.7,845.0,843.7,833.0,840.9,848.7,844.7,861.2,864.6,874.6,859.2,843.9,798.0,744.6,702.0,647.6,604.9,583.7,569.8,552.3,530.7,508.3,523.2,522.3,522.6,540.3,532.2,515.2,536.3,540.2,528.3,475.8,492.5,514.9,528.1,508.1,487.3,471.3,451.6,--4.5%,--0.9%,12.1%
Iran,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.4,0.6,0.7,1.3,1.3,1.3,0.8,1.1,1.2,1.0,1.3,1.3,1.0,1.0,1.0,0.9,1.0,0.7,0.7,1.0,0.9,1.1,1.1,1.0,1.1,1.1,1.3,1.2,1.3,1.3,1.2,1.3,1.4,1.6,1.5,1.6,1.2,1.4,1.3,1.4,1.1,1.4,1.6,1.6,1.7,4.3%,0.5%,♦
Israel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,0.6,1.0,1.7,1.8,2.1,2.2,2.1,2.3,2.4,2.6,3.2,3.6,3.8,4.1,5.0,5.4,5.8,5.7,6.3,7.2,7.6,7.9,8.0,7.9,7.8,8.0,7.9,7.7,7.7,7.9,8.8,7.4,6.9,6.7,5.7,--15.5%,--1.6%,0.2%
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,♦,13.5%,♦
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.6,0.7,1.3,1.7,1.4,1.5,1.3,1.3,♦,24.1%,♦
Other Middle East,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-,-,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.5,0.7,0.5,0.5,♦,13.2%,♦
Total Middle East,0.2,0.2,0.3,0.3,0.3,0.4,0.2,0.4,0.6,0.7,1.3,1.3,1.3,0.8,1.1,1.2,1.0,1.9,2.3,2.7,2.8,3.0,3.1,3.1,3.0,3.1,3.6,4.1,4.7,5.0,5.3,6.2,6.7,7.3,7.1,7.7,8.7,9.1,9.5,9.6,9.8,9.8,9.9,9.7,9.9,10.1,11.2,12.3,10.9,10.8,10.2,9.3,--9.5%,0.4%,0.2%
Algeria,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,0.1,^,0.1,0.1,^,0.8,0.7,0.8,0.9,0.9,1.1,1.0,0.8,0.7,0.7,0.8,0.7,0.6,0.6,0.3,0.5,0.5,0.6,0.5,0.6,0.7,0.6,0.7,0.6,0.9,0.8,0.8,0.5,0.3,0.3,0.3,0.2,0.2,0.1,0.1,♦,--13.2%,♦
Egypt,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.8,0.8,0.8,1.0,1.0,0.7,1.0,0.8,0.8,0.7,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,4.3%,--7.0%,♦
South Africa,24.7,24.3,25.0,26.2,26.5,27.4,29.2,29.5,31.4,32.9,35.1,36.8,38.2,37.1,39.5,42.7,50.6,55.5,56.4,60.8,62.4,63.3,64.4,69.6,65.0,67.3,66.1,66.4,66.6,68.8,71.3,72.4,74.0,71.8,75.0,74.6,74.9,71.2,79.2,86.8,80.0,81.5,83.7,93.3,93.8,92.8,90.5,88.3,88.6,89.8,83.4,85.1,1.8%,0.4%,2.3%
Other Africa,3.7,3.8,3.8,3.8,3.7,3.8,3.8,3.9,4.0,3.8,3.8,4.0,3.5,3.4,3.1,3.4,3.3,3.3,3.2,3.3,3.7,4.4,5.0,5.0,5.1,6.8,5.8,5.9,6.7,6.5,6.6,6.7,7.1,7.4,6.7,6.9,7.8,7.6,6.9,7.9,7.9,7.4,6.9,6.7,6.1,6.5,7.2,7.0,8.3,11.9,11.4,10.3,--10.3%,3.8%,0.3%
Total Africa,28.9,28.5,29.3,30.6,30.7,31.6,33.4,33.7,35.7,37.2,39.5,41.4,42.4,41.1,43.4,46.8,54.7,60.4,61.1,65.6,67.7,69.3,71.2,76.5,71.9,75.5,73.4,73.8,75.0,76.9,79.3,80.4,82.4,80.5,83.1,82.9,84.0,80.4,87.6,96.2,89.3,90.6,92.1,101.5,101.0,100.1,98.5,96.1,97.5,102.3,95.3,95.9,0.4%,0.7%,2.6%
Australia,17.4,18.0,18.5,19.1,19.7,19.9,20.0,20.9,21.8,22.7,23.4,24.2,25.3,26.0,27.1,27.9,28.6,28.9,28.9,30.6,31.7,32.5,33.8,35.6,37.3,38.2,39.0,39.2,39.5,40.3,41.6,43.3,45.5,47.6,47.8,48.0,47.5,48.5,49.9,52.0,51.7,53.1,52.7,54.9,53.1,49.4,48.1,45.1,43.0,42.6,44.1,43.8,--0.9%,--1.6%,1.2%
Bangladesh,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,^,^,0.1,0.1,0.1,0.1,0.3,0.1,0.1,^,^,0.3,0.2,0.3,0.1,^,0.3,0.3,0.4,0.3,0.3,0.5,0.5,0.6,0.6,0.8,0.8,0.7,0.9,1.0,0.8,0.7,0.8,17.0%,3.7%,♦
China,114.4,122.4,108.8,108.0,130.4,165.9,191.3,202.3,205.0,202.8,228.6,234.2,257.6,282.8,292.6,304.3,302.7,320.3,343.0,373.0,407.2,425.7,461.9,496.2,519.9,527.5,553.2,578.8,616.5,657.1,665.2,696.1,682.0,676.8,696.4,706.1,742.5,814.1,970.2,1131.2,1324.6,1454.7,1584.2,1609.3,1685.8,1748.9,1903.9,1927.8,1969.1,1954.5,1913.6,1887.6,--1.6%,3.7%,50.6%
